food_id,food_name,id,name,"Energy, by calculation,kcal","Total energy - by calculation,kcal","Protein, total,g","Moisture,g","Fat, total,g","Ash,g","Iron,mg","Calcium,mg","Sodium,mg","Carbohydrate, available,g","b-carotene,mcg","Vitamin D (D2+D3),mcg","Magnesium,mg","Niacin,mg","Fatty acids, total monounsaturated,g","Folate, total,mcg","Riboflavin,mg","Copper,mg","Carbohydrate, total,g","Edible portion,%","Potassium,mg","Fatty acids, total omega-3 polyunsaturated,g","Fatty acids, total omega-6 polyunsaturated,g","Retinol,mcg","Alpha-tocopherol,mg","Vitamin B-6, total,mg","Vitamin B-12,mcg","Phosphorus,mg","Vitamin A; retinol activity equivalent,mcg","Fatty acids, total saturated,g","Vitamin C,mg","Cholesterol,mg","Density,g/mL","Fatty acids, total polyunsaturated,g","Thiamin,mg","True protein,g","Selenium,mcg","Dietary fibre,g","Zinc,mg","Sugars, total,g",Source_id
474,ไก่ต้ม,890,"ไก่, ทั้งตัว, ต้ม",241,NULL,22.9,60.8,16.6,1.3,0.8,12,126,NULL,NULL,NULL,NULL,4.8,6.4,NULL,0.2,0.08,NULL,50,337,NULL,NULL,7,NULL,NULL,NULL,142,7,5.4,NULL,123,NULL,3.83,0.06,NULL,NULL,NULL,1.5,NULL,1
473,ไก่ตุ๋น,889,"ไก่, ตุ๋น",180,NULL,18.9,65.2,10.3,2.4,1.3,15,441,2.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,NULL,NULL,1
753,ไก่ผัดเผ็ด,1503,ผัดเผ็ดไก่,133,NULL,13.77,68.9,5.53,2.7,2.6,52,408,4.37,NULL,NULL,NULL,NULL,1.28,NULL,NULL,NULL,NULL,NULL,518,0.28,2.73,NULL,NULL,NULL,NULL,NULL,NULL,1.22,NULL,30,NULL,3.02,NULL,NULL,NULL,5.5,NULL,4.37,1
480,ไก่ยอทอด,989,"ไก่ยอ, ทอด",342,NULL,11.23,42.7,25.73,3.9,1.53,NULL,867,16.43,NULL,NULL,NULL,NULL,9.28,NULL,NULL,NULL,NULL,NULL,NULL,0.33,5.24,NULL,NULL,NULL,NULL,NULL,NULL,7.29,NULL,63,NULL,5.61,NULL,NULL,NULL,NULL,NULL,NULL,1
482,ไก่หยอง,990,ไก่หยอง,353,NULL,38.18,7.9,2.63,7.27,1.5,38,1,44.04,NULL,NULL,NULL,NULL,0.86,NULL,NULL,NULL,NULL,NULL,474,0.09,0.47,NULL,NULL,NULL,NULL,NULL,NULL,0.83,NULL,98,NULL,0.57,NULL,NULL,NULL,NULL,NULL,NULL,1
483,ไก่อบซอส,1481,ไก่อบซอส,127,NULL,8.57,70.2,4.37,2.37,0.4,16,397,12.07,NULL,NULL,NULL,NULL,1.35,NULL,0.02,NULL,NULL,NULL,318,0.06,0.43,10,NULL,NULL,NULL,NULL,10,2.35,NULL,26,NULL,0.49,0.07,NULL,NULL,2.4,NULL,7.1,1
513,ไก่เทอริยากิ,903,"ไก่, สะโพก, ต้ม",242,NULL,21.1,59.3,16.6,1,1.2,15,124,2,NULL,NULL,21,3.63,6.18,NULL,0.29,0.09,NULL,74,156,NULL,NULL,5,NULL,NULL,NULL,151,5,5.75,NULL,100,NULL,3.66,0.05,NULL,NULL,NULL,1.7,NULL,1
487,ไข่ต้ม,1269,"ไข่ไก่, ไข่แดง, สุก (ต้ม 5 นาที)",356,NULL,17.7,47.5,30.7,1.8,NULL,NULL,NULL,2.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
487,ไข่ต้ม,1271,"ไข่ไก่, ต้ม, 10 นาที",138,NULL,13.15,75,8.31,0.86,1.59,50,139,2.73,8,NULL,9,0.1,3.34,NULL,0.33,0.1,NULL,87,123,0.05,1.06,161,NULL,NULL,NULL,176,162,2.43,NULL,380,NULL,1.11,0.08,NULL,NULL,NULL,1.03,NULL,1
486,ไข่ตุ๋น,1272,"ไข่ไก่, ตุ๋น (เติมน้ำและน้ำปลา)",61,NULL,4.93,87.8,3.32,1.02,0.5,21,351,2.94,3,NULL,6,0.11,1.2,NULL,0.14,0.01,NULL,87,63,0.05,0.66,42,NULL,NULL,NULL,64,42,0.85,NULL,139,NULL,0.71,0.03,NULL,NULL,NULL,0.36,NULL,1
488,ไข่นกกระทา,1282,"ไข่นกกระทา, ทอดบนถาดหลุมขนมครก",230,NULL,14.34,64.3,18.58,1.35,2.97,77,163,1.47,NULL,NULL,10,0.1,7.12,NULL,0.5,0.07,NULL,84,194,0.22,2.12,542,NULL,NULL,NULL,226,542,5.95,NULL,511,NULL,2.34,0.18,NULL,NULL,NULL,1.57,NULL,1
488,ไข่นกกระทา,1283,"ไข่นกกระทา, สุก (ต้ม 5 นาที)",150,NULL,13.15,74.8,10.52,1.01,2.51,63,130,0.57,NULL,NULL,8,0.08,4.03,NULL,0.47,0.06,NULL,84,149,0.16,1.32,461,NULL,NULL,NULL,174,461,3.22,NULL,449,NULL,1.48,0.14,NULL,NULL,NULL,1.22,NULL,1
489,ไข่ปลาหมึกทอด,1288,"ไข่ปลาหมึก, ทอด",285,NULL,21.58,48.9,18.1,2.4,0.85,50,494,9.06,NULL,NULL,30,1.54,7.42,NULL,0.07,1.08,NULL,100,275,1.66,1.47,117,NULL,NULL,NULL,310,117,7.82,NULL,305,NULL,3.13,0.06,NULL,NULL,NULL,1.71,NULL,1
490,ไข่พะโล้,1562,ข้าวราดไข่พะโล้,156,NULL,5.66,61.6,6.45,1.33,3.35,47,305,16.14,NULL,NULL,35,1.35,2.29,NULL,0.35,0.29,NULL,NULL,127,NULL,NULL,44,NULL,NULL,NULL,194,44,2.6,NULL,73,NULL,1.25,0.62,NULL,NULL,5.3,2.05,NULL,1
491,ไข่มดแดง,1294,ไข่มดแดง,86,NULL,7,81.9,3.2,0.6,4.1,8,28,7.3,NULL,NULL,NULL,0.9,NULL,NULL,0.19,NULL,NULL,100,96,NULL,NULL,NULL,NULL,NULL,NULL,113,NULL,NULL,NULL,NULL,NULL,NULL,0.15,NULL,NULL,NULL,NULL,NULL,1
569,ไข่เค็ม,1276,"ไข่เค็ม, ไข่เป็ด",180,NULL,13.7,63.9,9.73,3.3,NULL,NULL,NULL,9.39,NULL,NULL,NULL,NULL,5.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.26,NULL,NULL,NULL,NULL,NULL,NULL,3.87,NULL,425,NULL,0.26,NULL,NULL,NULL,NULL,NULL,NULL,1
569,ไข่เค็ม,1277,"ไข่เค็ม, ไข่เป็ด, เสริมไอโอดีน",184,NULL,13.2,67.3,13.9,4,2.1,81,962,1.6,NULL,NULL,NULL,NULL,NULL,NULL,0.48,NULL,NULL,NULL,NULL,NULL,NULL,123,NULL,NULL,NULL,NULL,123,NULL,NULL,NULL,NULL,NULL,0.25,NULL,NULL,NULL,NULL,NULL,1
495,ไข่เจียว,1270,"ไข่ไก่, เจียว (เติมน้ำปลา)",361,NULL,13.98,49,32.89,1.8,1.36,86,591,2.37,9,NULL,15,0.19,10.44,NULL,0.45,0.03,NULL,88,188,1.32,13.41,154,NULL,NULL,NULL,204,155,7.76,NULL,297,NULL,14.72,0.08,NULL,NULL,NULL,1.24,NULL,1
497,ไส้กรอกอีสาน,1757,"ไส้กรอก, อีสาน",NULL,468,12.88,35,43.24,2.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.34,NULL,NULL,NULL,6.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.85,NULL,75,NULL,7.15,NULL,NULL,NULL,NULL,NULL,NULL,1
499,ไส้อั่ว,1012,"ไส้อั่ว, ย่าง",364,NULL,18.45,43.1,29.33,2.63,1.5,47,668,6.46,NULL,NULL,NULL,3.02,11.99,NULL,0.11,NULL,NULL,NULL,346,0.18,2.91,10,NULL,NULL,NULL,155,10,12.86,NULL,73,NULL,3.09,0.47,NULL,NULL,NULL,2.53,NULL,1
500,ไส้เป็ดต้มพะโล้,1516,ไส้เป็ดต้มพะโล้,245,NULL,21.56,61.9,17.68,1.45,1.36,16,378,NULL,NULL,NULL,12,1.46,7.33,NULL,0.08,0.11,NULL,NULL,117,0.12,2.86,79,NULL,NULL,NULL,174,79,5.25,NULL,NULL,NULL,2.98,0.03,NULL,NULL,NULL,2.64,NULL,1
