food_id,food_name,id,name,"Energy, by calculation,kcal","Total energy - by calculation,kcal","Protein, total,g","Moisture,g","Fat, total,g","Ash,g","Iron,mg","Calcium,mg","Sodium,mg","Carbohydrate, available,g","b-carotene,mcg","Vitamin D (D2+D3),mcg","Magnesium,mg","Niacin,mg","Fatty acids, total monounsaturated,g","Folate, total,mcg","Riboflavin,mg","Copper,mg","Carbohydrate, total,g","Edible portion,%","Potassium,mg","Fatty acids, total omega-3 polyunsaturated,g","Fatty acids, total omega-6 polyunsaturated,g","Retinol,mcg","Alpha-tocopherol,mg","Vitamin B-6, total,mg","Vitamin B-12,mcg","Phosphorus,mg","Vitamin A; retinol activity equivalent,mcg","Fatty acids, total saturated,g","Vitamin C,mg","Cholesterol,mg","Density,g/mL","Fatty acids, total polyunsaturated,g","Thiamin,mg","True protein,g","Selenium,mcg","Dietary fibre,g","Zinc,mg","Sugars, total,g",Source_id
427,แกงกะหรี่,1451,"แกงกะหรี่, ไก่",117,NULL,9.25,75,5.65,2.11,0.84,NULL,368,6.5,NULL,NULL,NULL,NULL,1.81,NULL,NULL,NULL,NULL,NULL,381,0.15,1.08,NULL,NULL,NULL,NULL,NULL,NULL,2.14,NULL,47,NULL,1.24,NULL,NULL,NULL,1.5,NULL,5.33,1
427,แกงกะหรี่,1452,"แกงกะหรี่, ไก่",138,NULL,8.69,72.2,7.95,2.54,1.03,16,552,7.38,NULL,NULL,NULL,NULL,NULL,NULL,0.07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.02,NULL,NULL,1.2,NULL,4.75,1
427,แกงกะหรี่,1453,"แกงกะหรี่, เนื้อ",NULL,173,15.2,63.6,7.95,3.05,2,NULL,552,NULL,NULL,NULL,NULL,NULL,2.3,NULL,NULL,NULL,10.25,NULL,NULL,0.12,0.81,NULL,NULL,NULL,NULL,NULL,NULL,4.33,NULL,38,NULL,0.94,NULL,NULL,NULL,NULL,NULL,NULL,1
427,แกงกะหรี่,1450,"แกงกะหรี่, กุ้ง",137,NULL,5.29,76.2,10.31,2.12,1.24,25,404,5.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.51,NULL,29,NULL,NULL,NULL,NULL,NULL,0.8,NULL,3.52,1
428,แกงขนุน,1454,แกงขนุน,NULL,62,3.4,87.5,3.9,1.85,1.42,21,NULL,NULL,54,NULL,NULL,1.3,NULL,NULL,0.07,NULL,3.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31,4,NULL,1,NULL,NULL,NULL,8.52,NULL,NULL,NULL,NULL,NULL,1
429,แกงขี้เหล็ก,1455,"แกงขี้เหล็ก (ใบและดอก)",NULL,125,4.15,80.5,10.95,2,1.52,18,NULL,NULL,898,NULL,NULL,1.9,NULL,NULL,0.04,NULL,2.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,75,NULL,1,NULL,NULL,NULL,72.53,NULL,NULL,NULL,NULL,NULL,1
430,แกงคั่วหอยขม,1473,"แกงหอยขม, ภาคกลาง",NULL,130,5.5,76.2,10,3.9,16.2,633,NULL,NULL,184,NULL,NULL,2.8,NULL,NULL,0.16,NULL,4.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,15,NULL,3,NULL,NULL,NULL,0.07,NULL,NULL,NULL,NULL,NULL,1
430,แกงคั่วหอยขม,1474,"แกงหอยขม, ภาคอีสาน",NULL,45,5.4,86.4,0.3,2.8,11.4,401,NULL,NULL,366,NULL,NULL,2.3,NULL,NULL,0.14,NULL,5.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,30,NULL,NULL,NULL,NULL,NULL,0.05,NULL,NULL,NULL,NULL,NULL,1
433,แกงบอน,1462,แกงบอน,NULL,39,1.6,88.2,0.3,2.4,0.7,50,NULL,NULL,50,NULL,NULL,1.7,NULL,NULL,0.02,NULL,7.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,4,NULL,2,NULL,NULL,NULL,0.03,NULL,NULL,NULL,NULL,NULL,1
439,แกงส้มกุ้งชะอม,1471,แกงส้มผักรวม,31,NULL,2.53,91.2,0.16,2.02,0.83,22,300,3.93,64,NULL,20,1,NULL,NULL,0.04,0.06,NULL,NULL,83,NULL,NULL,NULL,NULL,NULL,NULL,35,6,0.04,3,17,NULL,NULL,0.03,NULL,NULL,1.9,0.38,3.7,1
